Title,Author,Author Affiliation,Source,Publication Year,Volume and Issue,Pages,Issue Date,Monograph Title,Database,Summary,Published Date,Link
"Improving Subseasonal Forecasting in the Western U.S. with Machine
  Learning","Jessica Hwang, Paulo Orenstein, Judah Cohen, Karl Pfeiffer, Lester Mackey",N/A,ArXiv,2018,N/A,N/A,2018-09-19T20:08:26Z,N/A,ArXiv,"  Water managers in the western United States (U.S.) rely on longterm forecasts
of temperature and precipitation to prepare for droughts and other wet weather
extremes. To improve the accuracy of these longterm forecasts, the U.S. Bureau
of Reclamation and the National Oceanic and Atmospheric Administration (NOAA)
launched the Subseasonal Climate Forecast Rodeo, a year-long real-time
forecasting challenge in which participants aimed to skillfully predict
temperature and precipitation in the western U.S. two to four weeks and four to
six weeks in advance. Here we present and evaluate our machine learning
approach to the Rodeo and release our SubseasonalRodeo dataset, collected to
train and evaluate our forecasting system.
  Our system is an ensemble of two regression models. The first integrates the
diverse collection of meteorological measurements and dynamic model forecasts
in the SubseasonalRodeo dataset and prunes irrelevant predictors using a
customized multitask model selection procedure. The second uses only historical
measurements of the target variable (temperature or precipitation) and
introduces multitask nearest neighbor features into a weighted local linear
regression. Each model alone is significantly more accurate than the debiased
operational U.S. Climate Forecasting System (CFSv2), and our ensemble skill
exceeds that of the top Rodeo competitor for each target variable and forecast
horizon. Moreover, over 2011-2018, an ensemble of our regression models and
debiased CFSv2 improves debiased CFSv2 skill by 40-50% for temperature and
129-169% for precipitation. We hope that both our dataset and our methods will
help to advance the state of the art in subseasonal forecasting.
",2018-09-19T20:08:26Z,http://arxiv.org/abs/1809.07394v3
Adaptive Bias Correction for Improved Subseasonal Forecasting,"Soukayna Mouatadid, Paulo Orenstein, Genevieve Flaspohler, Judah Cohen, Miruna Oprescu, Ernest Fraenkel, Lester Mackey",N/A,ArXiv,2022,N/A,N/A,2022-09-21T21:22:44Z,N/A,ArXiv,"  Subseasonal forecasting -- predicting temperature and precipitation 2 to 6
weeks ahead -- is critical for effective water allocation, wildfire management,
and drought and flood mitigation. Recent international research efforts have
advanced the subseasonal capabilities of operational dynamical models, yet
temperature and precipitation prediction skills remain poor, partly due to
stubborn errors in representing atmospheric dynamics and physics inside
dynamical models. Here, to counter these errors, we introduce an adaptive bias
correction (ABC) method that combines state-of-the-art dynamical forecasts with
observations using machine learning. We show that, when applied to the leading
subseasonal model from the European Centre for Medium-Range Weather Forecasts
(ECMWF), ABC improves temperature forecasting skill by 60-90% (over baseline
skills of 0.18-0.25) and precipitation forecasting skill by 40-69% (over
baseline skills of 0.11-0.15) in the contiguous U.S. We couple these
performance improvements with a practical workflow to explain ABC skill gains
and identify higher-skill windows of opportunity based on specific climate
conditions.
",2022-09-21T21:22:44Z,http://arxiv.org/abs/2209.10666v3
GenCast: Diffusion-based ensemble forecasting for medium-range weather,"Ilan Price, Alvaro Sanchez-Gonzalez, Ferran Alet, Tom R. Andersson, Andrew El-Kadi, Dominic Masters, Timo Ewalds, Jacklynn Stott, Shakir Mohamed, Peter Battaglia, Remi Lam, Matthew Willson",N/A,ArXiv,2023,N/A,N/A,2023-12-25T19:30:06Z,N/A,ArXiv,"  Weather forecasts are fundamentally uncertain, so predicting the range of
probable weather scenarios is crucial for important decisions, from warning the
public about hazardous weather, to planning renewable energy use. Here, we
introduce GenCast, a probabilistic weather model with greater skill and speed
than the top operational medium-range weather forecast in the world, the
European Centre for Medium-Range Forecasts (ECMWF)'s ensemble forecast, ENS.
Unlike traditional approaches, which are based on numerical weather prediction
(NWP), GenCast is a machine learning weather prediction (MLWP) method, trained
on decades of reanalysis data. GenCast generates an ensemble of stochastic
15-day global forecasts, at 12-hour steps and 0.25 degree latitude-longitude
resolution, for over 80 surface and atmospheric variables, in 8 minutes. It has
greater skill than ENS on 97.4% of 1320 targets we evaluated, and better
predicts extreme weather, tropical cyclones, and wind power production. This
work helps open the next chapter in operational weather forecasting, where
critical weather-dependent decisions are made with greater accuracy and
efficiency.
",2023-12-25T19:30:06Z,http://arxiv.org/abs/2312.15796v2
"Learning to forecast vegetation greenness at fine resolution over Africa
  with ConvLSTMs","Claire Robin, Christian Requena-Mesa, Vitus Benson, Lazaro Alonso, Jeran Poehls, Nuno Carvalhais, Markus Reichstein",N/A,ArXiv,2022,N/A,N/A,2022-10-24T23:03:36Z,N/A,ArXiv,"  Forecasting the state of vegetation in response to climate and weather events
is a major challenge. Its implementation will prove crucial in predicting crop
yield, forest damage, or more generally the impact on ecosystems services
relevant for socio-economic functioning, which if absent can lead to
humanitarian disasters. Vegetation status depends on weather and environmental
conditions that modulate complex ecological processes taking place at several
timescales. Interactions between vegetation and different environmental drivers
express responses at instantaneous but also time-lagged effects, often showing
an emerging spatial context at landscape and regional scales. We formulate the
land surface forecasting task as a strongly guided video prediction task where
the objective is to forecast the vegetation developing at very fine resolution
using topography and weather variables to guide the prediction. We use a
Convolutional LSTM (ConvLSTM) architecture to address this task and predict
changes in the vegetation state in Africa using Sentinel-2 satellite NDVI,
having ERA5 weather reanalysis, SMAP satellite measurements, and topography
(DEM of SRTMv4.1) as variables to guide the prediction. Ours results highlight
how ConvLSTM models can not only forecast the seasonal evolution of NDVI at
high resolution, but also the differential impacts of weather anomalies over
the baselines. The model is able to predict different vegetation types, even
those with very high NDVI variability during target length, which is promising
to support anticipatory actions in the context of drought-related disasters.
",2022-10-24T23:03:36Z,http://arxiv.org/abs/2210.13648v2
"A Machine Learning Outlook: Post-processing of Global Medium-range
  Forecasts","Shreya Agrawal, Rob Carver, Cenk Gazen, Eric Maddy, Vladimir Krasnopolsky, Carla Bromberg, Zack Ontiveros, Tyler Russell, Jason Hickey, Sid Boukabara",N/A,ArXiv,2023,N/A,N/A,2023-03-28T20:48:01Z,N/A,ArXiv,"  Post-processing typically takes the outputs of a Numerical Weather Prediction
(NWP) model and applies linear statistical techniques to produce improve
localized forecasts, by including additional observations, or determining
systematic errors at a finer scale. In this pilot study, we investigate the
benefits and challenges of using non-linear neural network (NN) based methods
to post-process multiple weather features -- temperature, moisture, wind,
geopotential height, precipitable water -- at 30 vertical levels, globally and
at lead times up to 7 days. We show that we can achieve accuracy improvements
of up to 12% (RMSE) in a field such as temperature at 850hPa for a 7 day
forecast. However, we recognize the need to strengthen foundational work on
objectively measuring a sharp and correct forecast. We discuss the challenges
of using standard metrics such as root mean squared error (RMSE) or anomaly
correlation coefficient (ACC) as we move from linear statistical models to more
complex non-linear machine learning approaches for post-processing global
weather forecasts.
",2023-03-28T20:48:01Z,http://arxiv.org/abs/2303.16301v1
GraphCast: Learning skillful medium-range global weather forecasting,"Remi Lam, Alvaro Sanchez-Gonzalez, Matthew Willson, Peter Wirnsberger, Meire Fortunato, Ferran Alet, Suman Ravuri, Timo Ewalds, Zach Eaton-Rosen, Weihua Hu, Alexander Merose, Stephan Hoyer, George Holland, Oriol Vinyals, Jacklynn Stott, Alexander Pritzel, Shakir Mohamed, Peter Battaglia",N/A,ArXiv,2022,N/A,N/A,2022-12-24T18:15:39Z,N/A,ArXiv,"  Global medium-range weather forecasting is critical to decision-making across
many social and economic domains. Traditional numerical weather prediction uses
increased compute resources to improve forecast accuracy, but cannot directly
use historical weather data to improve the underlying model. We introduce a
machine learning-based method called ""GraphCast"", which can be trained directly
from reanalysis data. It predicts hundreds of weather variables, over 10 days
at 0.25 degree resolution globally, in under one minute. We show that GraphCast
significantly outperforms the most accurate operational deterministic systems
on 90% of 1380 verification targets, and its forecasts support better severe
event prediction, including tropical cyclones, atmospheric rivers, and extreme
temperatures. GraphCast is a key advance in accurate and efficient weather
forecasting, and helps realize the promise of machine learning for modeling
complex dynamical systems.
",2022-12-24T18:15:39Z,http://arxiv.org/abs/2212.12794v2
"FuXi-ENS: A machine learning model for medium-range ensemble weather
  forecasting","Xiaohui Zhong, Lei Chen, Hao Li, Jun Liu, Xu Fan, Jie Feng, Kan Dai, Jing-Jia Luo, Jie Wu, Bo Lu",N/A,ArXiv,2024,N/A,N/A,2024-05-09T17:15:09Z,N/A,ArXiv,"  Ensemble forecasting is crucial for improving weather predictions, especially
for forecasts of extreme events. Constructing an ensemble prediction system
(EPS) based on conventional NWP models is highly computationally expensive. ML
models have emerged as valuable tools for deterministic weather forecasts,
providing forecasts with significantly reduced computational requirements and
even surpassing the forecast performance of traditional NWP models. However,
challenges arise when applying ML models to ensemble forecasting. Recent ML
models, such as GenCast and SEEDS model, rely on the ERA5 EDA or operational
NWP ensemble members for forecast generation. Their spatial resolution is also
considered too coarse for many applications. To overcome these limitations, we
introduce FuXi-ENS, an advanced ML model designed to deliver 6-hourly global
ensemble weather forecasts up to 15 days. This model runs at a significantly
increased spatial resolution of 0.25\textdegree, incorporating 5 atmospheric
variables at 13 pressure levels, along with 13 surface variables. By leveraging
the inherent probabilistic nature of Variational AutoEncoder (VAE), FuXi-ENS
optimizes a loss function that combines the CRPS and the KL divergence between
the predicted and target distribution, facilitating the incorporation of
flow-dependent perturbations in both initial conditions and forecast. This
innovative approach makes FuXi-ENS an advancement over the traditional ones
that use L1 loss combined with the KL loss in standard VAE models for ensemble
weather forecasting. Results demonstrate that FuXi-ENS outperforms ensemble
forecasts from the ECMWF, a world leading NWP model, in the CRPS of 98.1% of
360 variable and forecast lead time combinations. This achievement underscores
the potential of the FuXi-ENS model to enhance ensemble weather forecasts,
offering a promising direction for further development in this field.
",2024-05-09T17:15:09Z,http://arxiv.org/abs/2405.05925v3
"A new paradigm for medium-range severe weather forecasts: probabilistic
  random forest-based predictions","Aaron J. Hill, Russ S. Schumacher, Israel Jirak",N/A,ArXiv,2022,N/A,N/A,2022-08-03T23:37:01Z,N/A,ArXiv,"  Historical observations of severe weather and simulated severe weather
environments (i.e., features) from the Global Ensemble Forecast System v12
(GEFSv12) Reforecast Dataset (GEFS/R) are used in conjunction to train and test
random forest (RF) machine learning (ML) models to probabilistically forecast
severe weather out to days 4--8. RFs are trained with 9 years of the GEFS/R and
severe weather reports to establish statistical relationships. Feature
engineering is briefly explored to examine alternative methods for gathering
features around observed events, including simplifying features using spatial
averaging and increasing the GEFS/R ensemble size with time-lagging. Validated
RF models are tested with ~1.5 years of real-time forecast output from the
operational GEFSv12 ensemble and are evaluated alongside expert human-generated
outlooks from the Storm Prediction Center (SPC). Both RF-based forecasts and
SPC outlooks are skillful with respect to climatology at days 4 and 5 with
degrading skill thereafter. The RF-based forecasts exhibit tendencies to
underforecast severe weather events, but they tend to be well-calibrated at
lower probability thresholds. Spatially averaging predictors during RF training
allows for prior-day thermodynamic and kinematic environments to generate
skillful forecasts, while time-lagging acts to expand the forecast areas,
increasing resolution but decreasing objective skill. The results highlight the
utility of ML-generated products to aid SPC forecast operations into the medium
range.
",2022-08-03T23:37:01Z,http://arxiv.org/abs/2208.02383v1
"An Earth-System-Oriented View of the S2S Predictability of North
  American Weather Regimes","Jhayron S. Pérez-Carrasquilla, Maria J. Molina",N/A,ArXiv,2024,N/A,N/A,2024-09-12T16:06:35Z,N/A,ArXiv,"  It is largely understood that subseasonal-to-seasonal (S2S) predictability
arises from the atmospheric initial state during early lead times, the land
during intermediate lead times, and the ocean during later lead times. We
examine whether this hypothesis holds for the S2S prediction of weather regimes
by training a set of XGBoost models to predict weekly weather regimes over
North America at 1-to-8-week lead times. Each model used a different predictor
from one of the three considered Earth system components (atmosphere, ocean, or
land) sourced from reanalyses. Three additional models were trained using
land-, ocean-, or atmosphere-only predictors to capture process interactions
and leverage multiple signals within the respective Earth system component. We
found that each Earth system component performed more skillfully at different
forecast horizons, with sensitivity to seasonality and observed (i.e., ground
truth) weather regime. S2S predictability from the atmosphere was higher during
winter, from the ocean during summer, and from land during spring and summer.
Ocean heat content was the best predictor for most seasons and weather regimes
beyond week 2, highlighting the importance of sub-surface ocean conditions for
S2S predictability. Soil temperature and water content were also important
predictors. Climate patterns were associated with changes in the likelihood of
occurrence for specific weather regimes, including the El Ni\~no-Southern
Oscillation, Madden Julian Oscillation, North Pacific Gyre, and Indian Ocean
dipole. This study quantifies predictability from some previously identified
processes on the large-scale atmospheric circulation and gives insight into new
sources for future study.
",2024-09-12T16:06:35Z,http://arxiv.org/abs/2409.08174v1
"FuXi-Extreme: Improving extreme rainfall and wind forecasts with
  diffusion model","Xiaohui Zhong, Lei Chen, Jun Liu, Chensen Lin, Yuan Qi, Hao Li",N/A,ArXiv,2023,N/A,N/A,2023-10-25T02:16:02Z,N/A,ArXiv,"  Significant advancements in the development of machine learning (ML) models
for weather forecasting have produced remarkable results. State-of-the-art
ML-based weather forecast models, such as FuXi, have demonstrated superior
statistical forecast performance in comparison to the high-resolution forecasts
(HRES) of the European Centre for Medium-Range Weather Forecasts (ECMWF).
However, ML models face a common challenge: as forecast lead times increase,
they tend to generate increasingly smooth predictions, leading to an
underestimation of the intensity of extreme weather events. To address this
challenge, we developed the FuXi-Extreme model, which employs a denoising
diffusion probabilistic model (DDPM) to restore finer-scale details in the
surface forecast data generated by the FuXi model in 5-day forecasts. An
evaluation of extreme total precipitation ($\textrm{TP}$), 10-meter wind speed
($\textrm{WS10}$), and 2-meter temperature ($\textrm{T2M}$) illustrates the
superior performance of FuXi-Extreme over both FuXi and HRES. Moreover, when
evaluating tropical cyclone (TC) forecasts based on International Best Track
Archive for Climate Stewardship (IBTrACS) dataset, both FuXi and FuXi-Extreme
shows superior performance in TC track forecasts compared to HRES, but they
show inferior performance in TC intensity forecasts in comparison to HRES.
",2023-10-25T02:16:02Z,http://arxiv.org/abs/2310.19822v1
"Beyond Ensemble Averages: Leveraging Climate Model Ensembles for
  Subseasonal Forecasting","Elena Orlova, Haokun Liu, Raphael Rossellini, Benjamin A. Cash, Rebecca Willett",N/A,ArXiv,2022,N/A,N/A,2022-11-29T01:11:04Z,N/A,ArXiv,"  Producing high-quality forecasts of key climate variables, such as
temperature and precipitation, on subseasonal time scales has long been a gap
in operational forecasting. This study explores an application of machine
learning (ML) models as post-processing tools for subseasonal forecasting.
Lagged numerical ensemble forecasts (i.e., an ensemble where the members have
different initialization dates) and observational data, including relative
humidity, pressure at sea level, and geopotential height, are incorporated into
various ML methods to predict monthly average precipitation and two-meter
temperature two weeks in advance for the continental United States. For
regression, quantile regression, and tercile classification tasks, we consider
using linear models, random forests, convolutional neural networks, and stacked
models (a multi-model approach based on the prediction of the individual ML
models). Unlike previous ML approaches that often use ensemble mean alone, we
leverage information embedded in the ensemble forecasts to enhance prediction
accuracy. Additionally, we investigate extreme event predictions that are
crucial for planning and mitigation efforts. Considering ensemble members as a
collection of spatial forecasts, we explore different approaches to using
spatial information. Trade-offs between different approaches may be mitigated
with model stacking. Our proposed models outperform standard baselines such as
climatological forecasts and ensemble means. In addition, we investigate
feature importance, trade-offs between using the full ensemble or only the
ensemble mean, and different modes of accounting for spatial variability.
",2022-11-29T01:11:04Z,http://arxiv.org/abs/2211.15856v5
"Statistical post-processing of heat index ensemble forecasts: is there a
  royal road?","Sándor Baran, Ágnes Baran, Florian Pappenberger, Zied Ben Bouallègue",N/A,ArXiv,2020,N/A,N/A,2020-01-23T18:03:32Z,N/A,ArXiv,"  We investigate the effect of statistical post-processing on the probabilistic
skill of discomfort index (DI) and indoor wet-bulb globe temperature (WBGTid)
ensemble forecasts, both calculated from the corresponding forecasts of
temperature and dew point temperature. Two different methodological approaches
to calibration are compared. In the first case, we start with joint
post-processing of the temperature and dew point forecasts and then create
calibrated samples of DI and WBGTid using samples from the obtained bivariate
predictive distributions. This approach is compared with direct post-processing
of the heat index ensemble forecasts. For this purpose, a novel ensemble model
output statistics model based on a generalized extreme value distribution is
proposed. The predictive performance of both methods is tested on the
operational temperature and dew point ensemble forecasts of the European Centre
for Medium-Range Weather Forecasts and the corresponding forecasts of DI and
WBGTid. For short lead times (up to day 6), both approaches significantly
improve the forecast skill. Among the competing post-processing methods, direct
calibration of heat indices exhibits the best predictive performance, very
closely followed by the more general approach based on joint calibration of
temperature and dew point temperature. Additionally, a machine learning
approach is tested and shows comparable performance for the case when one is
interested only in forecasting heat index warning level categories.
",2020-01-23T18:03:32Z,http://arxiv.org/abs/2001.08712v2
Calibrating Bayesian UNet++ for Sub-Seasonal Forecasting,"Busra Asan, Abdullah Akgül, Alper Unal, Melih Kandemir, Gozde Unal",N/A,ArXiv,2024,N/A,N/A,2024-03-25T10:42:48Z,N/A,ArXiv,"  Seasonal forecasting is a crucial task when it comes to detecting the extreme
heat and colds that occur due to climate change. Confidence in the predictions
should be reliable since a small increase in the temperatures in a year has a
big impact on the world. Calibration of the neural networks provides a way to
ensure our confidence in the predictions. However, calibrating regression
models is an under-researched topic, especially in forecasters. We calibrate a
UNet++ based architecture, which was shown to outperform physics-based models
in temperature anomalies. We show that with a slight trade-off between
prediction error and calibration error, it is possible to get more reliable and
sharper forecasts. We believe that calibration should be an important part of
safety-critical machine learning applications such as weather forecasters.
",2024-03-25T10:42:48Z,http://arxiv.org/abs/2403.16612v2
"FourCastNet: Accelerating Global High-Resolution Weather Forecasting
  using Adaptive Fourier Neural Operators","Thorsten Kurth, Shashank Subramanian, Peter Harrington, Jaideep Pathak, Morteza Mardani, David Hall, Andrea Miele, Karthik Kashinath, Animashree Anandkumar",N/A,ArXiv,2022,N/A,N/A,2022-08-08T06:06:31Z,N/A,ArXiv,"  Extreme weather amplified by climate change is causing increasingly
devastating impacts across the globe. The current use of physics-based
numerical weather prediction (NWP) limits accuracy due to high computational
cost and strict time-to-solution limits. We report that a data-driven deep
learning Earth system emulator, FourCastNet, can predict global weather and
generate medium-range forecasts five orders-of-magnitude faster than NWP while
approaching state-of-the-art accuracy. FourCast-Net is optimized and scales
efficiently on three supercomputing systems: Selene, Perlmutter, and JUWELS
Booster up to 3,808 NVIDIA A100 GPUs, attaining 140.8 petaFLOPS in mixed
precision (11.9%of peak at that scale). The time-to-solution for training
FourCastNet measured on JUWELS Booster on 3,072GPUs is 67.4minutes, resulting
in an 80,000times faster time-to-solution relative to state-of-the-art NWP, in
inference. FourCastNet produces accurate instantaneous weather predictions for
a week in advance, enables enormous ensembles that better capture weather
extremes, and supports higher global forecast resolutions.
",2022-08-08T06:06:31Z,http://arxiv.org/abs/2208.05419v1
"EarthNet2021: A novel large-scale dataset and challenge for forecasting
  localized climate impacts","Christian Requena-Mesa, Vitus Benson, Joachim Denzler, Jakob Runge, Markus Reichstein",N/A,ArXiv,2020,N/A,N/A,2020-12-11T11:21:00Z,N/A,ArXiv,"  Climate change is global, yet its concrete impacts can strongly vary between
different locations in the same region. Seasonal weather forecasts currently
operate at the mesoscale (> 1 km). For more targeted mitigation and adaptation,
modelling impacts to < 100 m is needed. Yet, the relationship between driving
variables and Earth's surface at such local scales remains unresolved by
current physical models. Large Earth observation datasets now enable us to
create machine learning models capable of translating coarse weather
information into high-resolution Earth surface forecasts. Here, we define
high-resolution Earth surface forecasting as video prediction of satellite
imagery conditional on mesoscale weather forecasts. Video prediction has been
tackled with deep learning models. Developing such models requires
analysis-ready datasets. We introduce EarthNet2021, a new, curated dataset
containing target spatio-temporal Sentinel 2 satellite imagery at 20 m
resolution, matched with high-resolution topography and mesoscale (1.28 km)
weather variables. With over 32000 samples it is suitable for training deep
neural networks. Comparing multiple Earth surface forecasts is not trivial.
Hence, we define the EarthNetScore, a novel ranking criterion for models
forecasting Earth surface reflectance. For model intercomparison we frame
EarthNet2021 as a challenge with four tracks based on different test sets.
These allow evaluation of model validity and robustness as well as model
applicability to extreme events and the complete annual vegetation cycle. In
addition to forecasting directly observable weather impacts through
satellite-derived vegetation indices, capable Earth surface models will enable
downstream applications such as crop yield prediction, forest health
assessments, coastline management, or biodiversity monitoring. Find data, code,
and how to participate at www.earthnet.tech .
",2020-12-11T11:21:00Z,http://arxiv.org/abs/2012.06246v1
"MT-IceNet -- A Spatial and Multi-Temporal Deep Learning Model for Arctic
  Sea Ice Forecasting","Sahara Ali, Jianwu Wang",N/A,ArXiv,2023,N/A,N/A,2023-08-08T18:18:31Z,N/A,ArXiv,"  Arctic amplification has altered the climate patterns both regionally and
globally, resulting in more frequent and more intense extreme weather events in
the past few decades. The essential part of Arctic amplification is the
unprecedented sea ice loss as demonstrated by satellite observations.
Accurately forecasting Arctic sea ice from sub-seasonal to seasonal scales has
been a major research question with fundamental challenges at play. In addition
to physics-based Earth system models, researchers have been applying multiple
statistical and machine learning models for sea ice forecasting. Looking at the
potential of data-driven approaches to study sea ice variations, we propose
MT-IceNet - a UNet based spatial and multi-temporal (MT) deep learning model
for forecasting Arctic sea ice concentration (SIC). The model uses an
encoder-decoder architecture with skip connections and processes multi-temporal
input streams to regenerate spatial maps at future timesteps. Using bi-monthly
and monthly satellite retrieved sea ice data from NSIDC as well as atmospheric
and oceanic variables from ERA5 reanalysis product during 1979-2021, we show
that our proposed model provides promising predictive performance for per-pixel
SIC forecasting with up to 60% decrease in prediction error for a lead time of
6 months as compared to its state-of-the-art counterparts.
",2023-08-08T18:18:31Z,http://arxiv.org/abs/2308.04511v1
"The Hurricane Track Fit Consensus Model for Improving Hurricane
  Forecasting","Nathan Ginis, Timothy Marchok",N/A,ArXiv,2022,N/A,N/A,2022-10-28T19:47:56Z,N/A,ArXiv,"  We present a new method for creating a model consensus to improve real-time
hurricane track prediction. The method is based on the statistical fitting of
historic numerical model track forecasts to the observed storm positions and
learning from their historical errors and biases. Our method is closest to the
HFIP Corrected Consensus Approach (HCCA) methodology while using an alternative
model formulation. Our method creates a separate consensus model for each
forecast hour making it possible to independently correct the bias of each
input model for that specific hour. This approach, which we call the Hurricane
Track Fit (HFIT) model, is computationally efficient and scalable to additional
numerical models as input, and it produces interpretable coefficients weighing
model contributions.
  The new method is evaluated for the 2014-2021 hurricane seasons in the
Atlantic basin using the input from the best-performing operational track
forecast guidance at the National Hurricane Center (NHC): the U.S. National
Weather Service Global Forecast System deterministic and ensemble mean models,
European Centre for Medium-Range Weather Forecasts deterministic model, the NWS
Hurricane Weather Research and Forecasting model and the NHC equally weighted
numerical model track consensus (TVCA). The results of the cross-validation for
the 2014-2021 hurricane track dataset show that the HFIT consensus model
consistently reduces the track forecast errors compared to those from the input
models and the official NHC forecasts (OFCL). For example, at 24h the HFIT
track forecast errors are smaller by 18.5% and 15.6% than those in AVNI and
EMXI respectively, and 23% and 15% smaller at 72h. The HFIT forecasts show a
reduction of errors compared to OFCL by 8.1% at 24h and 7.5% at 72h. We also
discuss the successful real-time operational performance of HFIT during the
2022 hurricane season.
",2022-10-28T19:47:56Z,http://arxiv.org/abs/2210.16382v1
"ExtremeCast: Boosting Extreme Value Prediction for Global Weather
  Forecast","Wanghan Xu, Kang Chen, Tao Han, Hao Chen, Wanli Ouyang, Lei Bai",N/A,ArXiv,2024,N/A,N/A,2024-02-02T10:34:13Z,N/A,ArXiv,"  Data-driven weather forecast based on machine learning (ML) has experienced
rapid development and demonstrated superior performance in the global
medium-range forecast compared to traditional physics-based dynamical models.
However, most of these ML models struggle with accurately predicting extreme
weather, which is related to training loss and the uncertainty of weather
systems. Through mathematical analysis, we prove that the use of symmetric
losses, such as the Mean Squared Error (MSE), leads to biased predictions and
underestimation of extreme values. To address this issue, we introduce Exloss,
a novel loss function that performs asymmetric optimization and highlights
extreme values to obtain accurate extreme weather forecast. Beyond the
evolution in training loss, we introduce a training-free extreme value
enhancement module named ExBooster, which captures the uncertainty in
prediction outcomes by employing multiple random samples, thereby increasing
the hit rate of low-probability extreme events. Combined with an advanced
global weather forecast model, extensive experiments show that our solution can
achieve state-of-the-art performance in extreme weather prediction, while
maintaining the overall forecast accuracy comparable to the top medium-range
forecast models.
",2024-02-02T10:34:13Z,http://arxiv.org/abs/2402.01295v4
"RainBench: Towards Global Precipitation Forecasting from Satellite
  Imagery","Christian Schroeder de Witt, Catherine Tong, Valentina Zantedeschi, Daniele De Martini, Freddie Kalaitzis, Matthew Chantry, Duncan Watson-Parris, Piotr Bilinski",N/A,ArXiv,2020,N/A,N/A,2020-12-17T15:35:24Z,N/A,ArXiv,"  Extreme precipitation events, such as violent rainfall and hail storms,
routinely ravage economies and livelihoods around the developing world. Climate
change further aggravates this issue. Data-driven deep learning approaches
could widen the access to accurate multi-day forecasts, to mitigate against
such events. However, there is currently no benchmark dataset dedicated to the
study of global precipitation forecasts. In this paper, we introduce
\textbf{RainBench}, a new multi-modal benchmark dataset for data-driven
precipitation forecasting. It includes simulated satellite data, a selection of
relevant meteorological data from the ERA5 reanalysis product, and IMERG
precipitation data. We also release \textbf{PyRain}, a library to process large
precipitation datasets efficiently. We present an extensive analysis of our
novel dataset and establish baseline results for two benchmark medium-range
precipitation forecasting tasks. Finally, we discuss existing data-driven
weather forecasting methodologies and suggest future research avenues.
",2020-12-17T15:35:24Z,http://arxiv.org/abs/2012.09670v1
Multi-modal learning for geospatial vegetation forecasting,"Vitus Benson, Claire Robin, Christian Requena-Mesa, Lazaro Alonso, Nuno Carvalhais, José Cortés, Zhihan Gao, Nora Linscheid, Mélanie Weynants, Markus Reichstein",N/A,ArXiv,2023,N/A,N/A,2023-03-28T17:59:05Z,N/A,ArXiv,"  The innovative application of precise geospatial vegetation forecasting holds
immense potential across diverse sectors, including agriculture, forestry,
humanitarian aid, and carbon accounting. To leverage the vast availability of
satellite imagery for this task, various works have applied deep neural
networks for predicting multispectral images in photorealistic quality.
However, the important area of vegetation dynamics has not been thoroughly
explored. Our study breaks new ground by introducing GreenEarthNet, the first
dataset specifically designed for high-resolution vegetation forecasting, and
Contextformer, a novel deep learning approach for predicting vegetation
greenness from Sentinel 2 satellite images with fine resolution across Europe.
Our multi-modal transformer model Contextformer leverages spatial context
through a vision backbone and predicts the temporal dynamics on local context
patches incorporating meteorological time series in a parameter-efficient
manner. The GreenEarthNet dataset features a learned cloud mask and an
appropriate evaluation scheme for vegetation modeling. It also maintains
compatibility with the existing satellite imagery forecasting dataset
EarthNet2021, enabling cross-dataset model comparisons. Our extensive
qualitative and quantitative analyses reveal that our methods outperform a
broad range of baseline techniques. This includes surpassing previous
state-of-the-art models on EarthNet2021, as well as adapted models from time
series forecasting and video prediction. To the best of our knowledge, this
work presents the first models for continental-scale vegetation modeling at
fine resolution able to capture anomalies beyond the seasonal cycle, thereby
paving the way for predicting vegetation health and behaviour in response to
climate variability and extremes.
",2023-03-28T17:59:05Z,http://arxiv.org/abs/2303.16198v2
"Multivariate Ensemble Forecast Framework for Demand Prediction of
  Anomalous Days","Muhammad Qamar Raza, N. Mithulananthan, Jiaming Li, Kwang Y. Lee",N/A,ArXiv,2018,N/A,N/A,2018-11-23T01:37:35Z,N/A,ArXiv,"  An accurate load forecast is always important for the power industry and
energy players as it enables stakeholders to make critical decisions. In
addition, its importance is further increased with growing uncertainties in the
generation sector due to the high penetration of renewable energy and the
introduction of demand side management strategies. An incremental improvement
in grid-level demand forecast of anomalous days can potentially save millions
of dollars. However, due to an increasing penetration of renewable energy
resources and their dependency on several meteorological and exogenous
variables, accurate load forecasting of anomalous days has now become very
challenging. To improve the prediction accuracy of the load forecasting, an
ensemble forecast framework (ENFF) is proposed with a systematic combination of
three multiple predictors, namely Elman neural network (ELM), feedforward
neural network (FNN) and radial basis function (RBF) neural network. These
predictors are trained using global particle swarm optimization (GPSO) to
improve their prediction capability in the ENFF. The outputs of individual
predictors are combined using a trim aggregation technique by removing
forecasting anomalies. Real recorded data of New England ISO grid is used for
training and testing of the ENFF for anomalous days. The forecast results of
the proposed ENFF indicate a significant improvement in prediction accuracy in
comparison to autoregressive integrated moving average (ARIMA) and
back-propagation neural networks (BPNN) based benchmark models.
",2018-11-23T01:37:35Z,http://arxiv.org/abs/1811.09339v1
